stag,event,gender,age,industry,profession,traffic,coach,head_gender,greywage,way,extraversion,independ,selfcontrol,anxiety,novator,wayencoded
7.030800821,1,1,35.0,2,6,4,1,0,1,0,6.2,4.1,5.7,7.1,8.3,0
22.9650924,1,1,33.0,2,6,2,1,1,1,0,6.2,4.1,5.7,7.1,8.3,0
15.93429158,1,0,35.0,8,6,4,1,1,1,0,6.2,6.2,2.6,4.8,8.3,0
15.93429158,1,0,35.0,8,6,4,1,1,1,0,5.4,7.6,4.9,2.5,6.7,0
8.410677618,1,1,32.0,10,2,7,2,0,1,0,3.0,4.1,8.0,7.1,3.7,0
8.969199179,1,0,42.0,14,6,2,2,1,1,0,6.2,6.2,4.1,5.6,6.7,0
8.969199179,1,0,42.0,14,6,2,2,1,1,0,6.2,6.2,4.1,5.6,6.7,0
120.4435318,1,0,28.0,10,6,6,1,1,1,0,3.8,5.5,8.0,4.0,4.4,0
8.607802875,1,0,29.0,2,6,2,1,0,1,0,8.6,6.9,2.6,4.0,7.5,0
4.435318275,1,0,30.0,4,9,7,2,1,1,0,5.4,5.5,3.3,7.9,8.3,0
67.35112936,1,0,40.0,14,6,4,1,1,1,1,8.6,4.1,1.8,7.1,6.7,1
20.92813142,1,1,23.0,2,6,6,2,1,1,0,3.0,6.9,4.9,4.8,7.5,0
20.92813142,1,0,22.0,4,6,4,0,0,1,2,5.4,8.4,4.9,3.3,6.0,2
8.936344969,1,0,24.0,11,13,1,2,0,1,2,7.0,6.2,4.1,7.1,9.0,2
33.57700205,1,0,25.0,13,6,0,0,0,1,2,9.4,1.2,4.1,5.6,6.7,2
16.39425051,1,0,28.0,3,6,7,1,1,1,1,8.6,5.5,4.9,4.8,5.2,1
15.34291581,1,0,30.0,2,6,4,1,1,1,0,5.4,5.5,3.3,4.8,6.7,0
26.4476386,1,0,27.0,5,11,6,2,1,1,0,5.4,6.9,2.6,5.6,8.3,0
14.71868583,1,0,36.0,2,6,6,2,0,0,0,5.4,6.9,3.3,3.3,7.5,0
45.37166324,1,0,29.0,13,6,6,1,1,1,0,7.8,6.2,6.4,7.9,6.0,0
45.37166324,1,0,29.0,13,6,6,1,1,1,0,3.8,3.4,5.7,8.7,7.5,0
